TradTime,TradPrice,TradVolume,TradeBuyNo,TradeSellNo,TradeBSFlag,BizIndex
2024-12-02 09:25:01.260,9.45,2000.0,202887,254211,N,396260
2024-12-02 09:25:01.260,9.45,3400.0,249140,254211,N,396261
2024-12-02 09:25:01.260,9.45,3200.0,286623,254211,N,396262
2024-12-02 09:25:01.260,9.45,100.0,289020,254211,N,396263
2024-12-02 09:25:01.260,9.45,10400.0,343845,254211,N,396264
2024-12-02 09:25:01.260,9.45,2100.0,407332,254211,N,396265
2024-12-02 09:25:01.260,9.45,2100.0,406000,254211,N,396266
2024-12-02 09:25:01.260,9.45,100.0,20619,254211,N,396267
2024-12-02 09:25:01.260,9.45,2500.0,285577,254211,N,396268
2024-12-02 09:25:01.260,9.45,100.0,387872,254211,N,396269
2024-12-02 09:25:01.260,9.45,400.0,36678,254211,N,396270
2024-12-02 09:25:01.260,9.45,200.0,75922,254211,N,396271
2024-12-02 09:25:01.260,9.45,100.0,75942,254211,N,396272
2024-12-02 09:25:01.260,9.45,200.0,138710,254211,N,396273
2024-12-02 09:25:01.260,9.45,300.0,149586,254211,N,396274
2024-12-02 09:25:01.260,9.45,100.0,250742,254211,N,396275
2024-12-02 09:25:01.260,9.45,400.0,278513,254211,N,396276
2024-12-02 09:25:01.260,9.45,100.0,278513,286612,N,396277
2024-12-02 09:25:01.260,9.45,100.0,278513,286614,N,396278
2024-12-02 09:25:01.260,9.45,1300.0,278513,357060,N,396279
2024-12-02 09:25:01.260,9.45,200.0,278513,395574,N,396280
2024-12-02 09:25:01.260,9.45,100.0,278513,77608,N,396281
2024-12-02 09:25:01.260,9.45,100.0,278513,78233,N,396282
2024-12-02 09:25:01.260,9.45,300.0,278513,210801,N,396283
2024-12-02 09:25:01.260,9.45,300.0,278513,211093,N,396284
2024-12-02 09:25:01.260,9.45,300.0,278513,229585,N,396285
2024-12-02 09:25:01.260,9.45,300.0,278513,229634,N,396286
2024-12-02 09:25:01.260,9.45,100.0,278513,247834,N,396287
2024-12-02 09:25:01.260,9.45,100.0,278513,247842,N,396288
2024-12-02 09:25:01.260,9.45,400.0,278513,250474,N,396289
2024-12-02 09:25:01.260,9.45,2500.0,278513,277873,N,396290
2024-12-02 09:25:01.260,9.45,1200.0,278516,277873,N,396291
2024-12-02 09:25:01.260,9.45,100.0,287053,277873,N,396292
2024-12-02 09:25:01.260,9.45,1100.0,290201,290239,N,396293
2024-12-02 09:25:01.260,9.45,500.0,290201,310930,N,396294
2024-12-02 09:25:01.260,9.45,1400.0,394987,310930,N,396295
2024-12-02 09:25:01.260,9.45,200.0,394987,329709,N,396296
2024-12-02 09:25:01.260,9.45,2600.0,394987,363132,N,396297
2024-12-02 09:25:01.260,9.45,10400.0,346971,363132,N,396298
2024-12-02 09:25:01.260,9.45,2800.0,346971,363133,N,396299
2024-12-02 09:25:01.260,9.45,300.0,346971,363268,N,396300
2024-12-02 09:25:01.260,9.45,300.0,346971,363361,N,396301
2024-12-02 09:25:01.260,9.45,700.0,346971,363521,N,396302
2024-12-02 09:25:01.260,9.45,300.0,346971,363527,N,396303
2024-12-02 09:25:01.260,9.45,100.0,346971,363533,N,396304
2024-12-02 09:25:01.260,9.45,1000.0,346971,277521,N,396305
2024-12-02 09:25:01.260,9.45,11300.0,346971,309622,N,396306
2024-12-02 09:25:01.260,9.45,400.0,346971,327332,N,396307
2024-12-02 09:25:01.260,9.45,7500.0,346971,361071,N,396308
2024-12-02 09:25:01.260,9.45,100.0,399756,361071,N,396309
2024-12-02 09:25:01.260,9.45,100.0,399783,361071,N,396310
2024-12-02 09:25:01.260,9.45,2100.0,12894,361071,N,396311
2024-12-02 09:25:01.260,9.45,1000.0,246878,361071,N,396312
2024-12-02 09:25:01.260,9.45,2300.0,408657,361071,N,396313
2024-12-02 09:25:01.260,9.45,1600.0,408657,351658,N,396314
2024-12-02 09:25:01.260,9.45,1100.0,408657,371562,N,396315
2024-12-02 09:25:01.260,9.45,900.0,408657,393875,N,396316
2024-12-02 09:25:01.260,9.45,100.0,408657,311229,N,396317
2024-12-02 09:25:01.260,9.45,100.0,408657,336332,N,396318
2024-12-02 09:25:01.260,9.45,100.0,408657,374751,N,396319
2024-12-02 09:25:01.260,9.45,3900.0,408657,402753,N,396320
2024-12-02 09:25:01.260,9.45,200.0,408657,122196,N,396321
2024-12-02 09:25:01.260,9.45,300.0,408657,249399,N,396322
2024-12-02 09:25:01.260,9.45,1000.0,408657,278517,N,396323
2024-12-02 09:25:01.260,9.45,700.0,408657,278518,N,396324
2024-12-02 09:25:01.260,9.45,600.0,408657,283021,N,396325
2024-12-02 09:25:01.260,9.45,100.0,408657,284430,N,396326
2024-12-02 09:25:01.260,9.45,100.0,408657,284517,N,396327
2024-12-02 09:25:01.260,9.45,100.0,408657,287405,N,396328
2024-12-02 09:25:01.260,9.45,100.0,408657,388438,N,396329
2024-12-02 09:25:01.260,9.45,2500.0,408657,296920,N,396330
2024-12-02 09:25:01.260,9.45,1000.0,408657,332588,N,396331
2024-12-02 09:25:01.260,9.45,500.0,408657,358621,N,396332
2024-12-02 09:25:01.260,9.45,100.0,408657,377102,N,396333
2024-12-02 09:25:01.260,9.45,400.0,408657,397674,N,396334
2024-12-02 09:25:01.260,9.45,100.0,408657,398037,N,396335
2024-12-02 09:25:01.260,9.45,1000.0,408657,52127,N,396336
2024-12-02 09:25:01.260,9.45,4700.0,408657,289842,N,396337
2024-12-02 09:25:01.260,9.45,3700.0,408657,370266,N,396338
2024-12-02 09:25:01.260,9.45,1300.0,389708,370266,N,396339
2024-12-02 09:25:01.260,9.45,100.0,389708,374569,N,396340
2024-12-02 09:25:01.260,9.45,300.0,389708,297106,N,396341
2024-12-02 09:25:01.260,9.45,1400.0,389708,320199,N,396342
2024-12-02 09:25:01.260,9.45,800.0,389708,368142,N,396343
2024-12-02 09:25:01.260,9.45,19200.0,406474,368142,N,396344
2024-12-02 09:25:01.260,9.45,8100.0,406474,386854,N,396345
2024-12-02 09:25:01.260,9.45,100.0,1802,386854,N,396346
2024-12-02 09:25:01.260,9.45,100.0,12480,386854,N,396347
2024-12-02 09:25:01.260,9.45,100.0,18749,386854,N,396348
2024-12-02 09:25:01.260,9.45,200.0,55111,386854,N,396349
2024-12-02 09:25:01.260,9.45,100.0,65476,386854,N,396350
2024-12-02 09:25:01.260,9.45,500.0,111448,386854,N,396351
2024-12-02 09:25:01.260,9.45,200.0,184143,386854,N,396352
2024-12-02 09:25:01.260,9.45,600.0,352091,386854,N,396353
2024-12-02 09:25:01.260,9.45,200.0,22284,386854,N,396354
2024-12-02 09:25:01.260,9.45,400.0,63949,386854,N,396355
2024-12-02 09:25:01.260,9.45,1200.0,82187,386854,N,396356
2024-12-02 09:25:01.260,9.45,3500.0,163067,386854,N,396357
2024-12-02 09:25:01.260,9.45,200.0,205115,386854,N,396358
2024-12-02 09:25:01.260,9.45,700.0,276282,386854,N,396359
2024-12-02 09:25:01.260,9.45,26900.0,388363,386854,N,396360
2024-12-02 09:25:01.260,9.45,100.0,388363,256426,N,396361
2024-12-02 09:25:01.260,9.45,100.0,388363,258399,N,396362
2024-12-02 09:25:01.260,9.45,100.0,388363,260452,N,396363
